RM Location ID,RM Property ID,RM Name,RM Address,RM City,RM State,Sola ID,Sola Name,Sola Address,Sola City,Sola State,Matched?,Notes
3,21,Nippers Corner,"5714 Edmundson Pike, Unit 1A",Nashville,TN,218,Nipper's Corner,5714 Edmondson Pike,Nashville,TN,Yes,Fuzzy match
3,22,ALPHA 3 GP LLC,5921 Baum,Pittsburgh,PA,261,Baum Boulevard,5921 Baum Boulevard,Pittsburgh,PA,Yes,Fuzzy match
3,23,4th & Margin LLC,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,24,Beauty Whim,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,25,Baum Blvd,5921 Baum Blvd,Pittsburgh,PA,261,Baum Boulevard,5921 Baum Boulevard,Pittsburgh,PA,Yes,Fuzzy match
3,26,"1111 PA, LLC (West)","","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,27,Monroeville,330 Mall Boulevard,Monroeville,PA,262,Monroeville,330 Mall Boulevard,Monroeville,PA,Yes,Perfect match
3,28,Wexford,181 Wexford Bayne Rd,Wexford,PA,286,Wexford,181 Wexford Bayne Road,Wexford,PA,Yes,Fuzzy match
3,29,Oregon Pike,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,30,McKnight Road,7809 McKnight Rd,Pittsburgh,PA,392,McKnight Road,7811 McKnight Road ,Pittsburgh,PA,Yes,Fuzzy match
3,31,Harrisburg Pike,600 N Charlotte St,Lancaster,PA,342,Harrisburg Pike,690 N. Charlotte Street,Lancaster,PA,Yes,Fuzzy match
3,32,Galleria,"1500 Washington Rd, Suite 1402",Pittsburgh,PA,391,Galleria of Mount Lebanon,1500 Washington Road ,Pittsburgh,PA,Yes,Fuzzy match
3,33,Strip District,2350 Smallman St,Pittsburgh,PA,408,Strip District,2343 Smallman Street ,Pittsburgh,PA,Yes,Fuzzy match
3,34,Bellevue,7620 Hwy 70,Nashville,TN,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
3,35,"1111 PA, LCC (East)","","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
3,36,"1111 PA, LLC (ALL)","","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
4,1,Corporate,8532 Castleton Corner Drive,Indianapolis,IN,19,Castleton,8532 Castleton Corner Drive,Indianapolis,IN,Yes,Perfect match
4,2,Castleton Corners,8532 Castlton Corner Drive,Indianapolis,IN,19,Castleton,8532 Castleton Corner Drive,Indianapolis,IN,Yes,Fuzzy match
4,3,Boardwalk Shoppes,"726 Adams Street, Suite 100",Carmel,IN,11,Carmel,"726 Adams Street, Suite 100",Carmel,IN,Yes,Perfect match
4,4,Fishers,11801 Commercial Drive,Fishers,IN,34,Fishers,11801 Commercial Drive,Fishers,IN,Yes,Perfect match
4,5,Payroll,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
5,8,FH7 Mgmt,6070 N Forest Glen Ave,Chicago,IL,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
5,9,Sola Park Ridge,6070 N Forest Glen Ave,Chicago,IL,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
5,10,Sola Schaumburg,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
5,11,Sola W Lakeview,6070 N Forest Glen Ave,Chicago,IL,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,7,"12S, LLC","2647 Gateway Road, Suite 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,9,#02 Huntington Beach HB,7862 Warner Avenue,Huntington Beach,CA,141,Huntington Beach,"7862 Warner Avenue, Suite A",Huntington Beach,CA,Yes,Fuzzy match
6,10,#01 Mission Viejo MV,27741 Crown Valley Parkway,Mission Viejo,CA,140,Mission Viejo,27741 Crown Valley Parkway # 201,Mission Viejo,CA,Yes,Fuzzy match
6,11,OC Regional Development LLC,"2647 Gateway Road, Suite 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,12,OC Management LLC,"2647 Gateway Road, Suite 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,13,"12S2, LLC","2647 Gateway Road, Suite 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,14,#03 Irvine CP,15333 Culver Drive Suite 200,Irvine,CA,159,Irvine,"15333 Culver Drive, Suite 200",Irvine,CA,Yes,Fuzzy match
6,15,#04 Fullerton FL,1361 S Harbor Blvd Suite #19,Fullerton,CA,234,Fullerton ,1361 S. Harbor Blvd Suite #19,Fullerton,CA,Yes,Fuzzy match
6,16,#05 Tustin TS,"Tustin Heights Shopping Center
1218 Irvine Blvd",Tustin,CA,235,Tustin,1218 Irvine Blvd,Tustin,CA,Yes,Fuzzy match
6,17,3rd Round LLC,"2647 Gateway Road, Suite 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,18,#06 Brea BR,"2315 E Imperial Highway, Suite C",Brea,CA,282,Brea,2315 Imperial Highway,Brea,CA,Yes,Fuzzy match
6,19,#07 Cypress CC,6887 Katella Avenue,Cypress,CA,290,Cypress,6887 Katella Avenue,Cypress,CA,Yes,Perfect match
6,20,#09 Yorba Linda YL,20355 Yorba Linda,Yorba Linda,CA,305,Yorba Linda,20469 Yorba Linda Blvd,Yorba Linda ,CA,Yes,Fuzzy match
6,21,#08 Lake Forest LF,"El Toro Square
24356 Swartz Drive",Lake Forest,CA,304,Lake Forest,24356 Swartz Drive,Lake Forest,CA,Yes,Fuzzy match
6,22,Lake Forest 8 LLC,"2647 Gateway Road, Suite 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,23,"Yorba Linda 9, LLC","2647 Gateway Road, Suite 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,24,#10 Tustin MP,2801 El Camino Real,Tustin,CA,359,The Marketplace,2801 El Camino Real,Tustin,CA,Yes,Perfect match
6,25,"Cypress 7, LLC",2647 Gateway Rd #105-406,Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
6,26,"Tustin 10, LLC","2647 Gateway Road, Ste 105-140",Carlsbad,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
7,10,US Home Ownership Rental Properties,"275 Tennant Ave, Suite 102",Morgan Hill,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
7,11,US Home Ownership Rent to Own,"275 Tennant Ave, Suite 102",Morgan Hill,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
8,8,"GATEWAY VI INVESTMENTS, LLC","275 Tennant Ave
Suite 102",Morgan HIll,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
8,9,Morgan Hill,"275 Tennant Ave
Suite 102",Morgan Hill,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
8,12,Sunnyvale,917 E Arques Ave,Sunnyvale,CA,298,Sunnyvale,917 E. Arques Avenue,Sunnyvale,CA,Yes,Fuzzy match
8,13,Rose Garden,1700 Park Ave,San Jose,CA,328,San Jose - Rose Garden,1700 Park Avenue,San Jose,CA,Yes,Fuzzy match
8,14,Blossom Hill,866 Blossom Hill Rd,San Jose,CA,327,San Jose - Blossom Hill,866 Blossom Hill,San Jose,CA,Yes,Fuzzy match
8,15,Paso Robles,2727 Buena Vista Drive Suite 101/102,Paso Robles,CA,361,Paso Robles,2727 Buena Vista Drive,Paso Robles,CA,Yes,Fuzzy match
9,7,Sola,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
9,8,Polaris,"Studio Group Partners LLC
PO Box 312",North Boston,NY,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
9,9,Orchard Park,"Studio Group Partners LLC
PO Box 312",North Boston,NY,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
11,1,Edina Sola Salon Studios,3519 West 70th Street,Edina,MN,32,Minneapolis - Edina,3519 West 70th Street,Edina,MN,Yes,Perfect match
11,2,Style Properties Inc,3519 West 70th Street,Edina,MN,32,Minneapolis - Edina,3519 West 70th Street,Edina,MN,Yes,Perfect match
11,3,Burnsville Sola Salon Studios,14358 Burnhaven Drive,Burnsville,MN,75,Minneapolis - Burnsville,14358 Burnhaven Drive,Burnsville,MN,Yes,Perfect match
11,4,Style Properties Uptown,3034 Lyndale Ave S.,Minneapolis,MN,82,Uptown,3034 Lyndale Avenue South,Minneapolis,MN,Yes,Fuzzy match
12,8,Eisenhower,301 Hooffs Run Drive,Alexandria,VA,80,Eisenhower - Alexandria,301 Hooffs Run Drive ,Alexandria,VA,Yes,Fuzzy match
12,9,"Edwards Street, LLC",4725 Edwards Street,Alexandria,VA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
12,10,Hilltop Village,6487 Old Beulah Street,Alexandria,VA,241,Hilltop Village - Alexandria,6487 Old Beulah Street ,Alexandria,VA,Yes,Fuzzy match
12,11,Concord Centre,6133D Backlick Road,Springfield,VA,306,Concord Centre - Springfield,6133 Backlick Road,Springfield,VA,Yes,Fuzzy match
12,13,University Mall,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
12,14,Ballston,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
12,15,Central Park,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
13,7,Sola Jonesboro,1843 Highland Ave,Jonesboro,AR,217,Bernard Court,1849 Highland Ave.,Jonesboro,AR,Yes,Fuzzy match
14,7,Sola,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
14,8,Mason Montgomery,9313 Mason Montgomery Rd,Cincinnati,OH,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
14,9,Hyde Park,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
14,10,West Chester,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
14,11,Anderson,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
15,7,Hanover Center Wilmington,1329 Independence Blvd,Wilmington,NC,180,Hanover Center,1329 Independence Boulevard,Wilmington,NC,Yes,Fuzzy match
15,8,Sola Hanover Center,1329 Independence Blvd,Wilmington,NC,180,Hanover Center,1329 Independence Boulevard,Wilmington,NC,Yes,Fuzzy match
15,9,Mayfaire Town Center,"817 Town Center
Suite 125",Wilmington,NC,385,Mayfaire,"817 Town Center Drive, Suite 125 ",Wilmington,NC,Yes,Fuzzy match
16,1,"SNIP Ventures, LLC","854 E. Algonquin Road
Suite 110",Schaumburg,IL,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
16,2,Orland Park,15752-A South La Grange Road,Orland Park,IL,24,Orland Park,15752-A South La Grange Road,Orland Park,IL,Yes,Perfect match
16,3,Glen Ellyn,930 Roosevelt Road,Glen Ellyn,IL,31,Glen Ellyn,930 Roosevelt Road,Glen Ellyn,IL,Yes,Perfect match
17,1," Style Partners, LLC","Sola Salon Studios
3280 St. Vincent Place",Boulder,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
17,2,"Style Lake Oswego, LLC","Sola Salon Studios, Lake Oswego
3280 St. Vincent Place",Boulder,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
17,3,"Style Pearl, LLC","Sola Salon Studios, Pearl
3280 St. Vincent Place",Boulder,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
17,4,Style Holdings LLC,3280 St Vincent Place,Boulder,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
17,5,Style Washington Square,"Sola Salon Studios, Washington Square
3280 St. Vincent Place",Boulder,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
18,1,"Sola Grand Rapids, LLC",6455 28th Street SE,Grand Rapids,MI,42,Cascade East,6455 28th St. SE,Grand Rapids,MI,Yes,Fuzzy match
19,1,"Style Baton Rouge, LLC",3280 St. Vincent Place,Boulder,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
20,1,Sola Mishawaka,1938 E University Drive,Granger,IN,138,City Plaza,1238 East University Drive,Granger,IN,Yes,Fuzzy match
20,2,Sola Evansville,585 N Green River Road,Evansville,IN,164,Towne Centre,585 N. Green River Road,Evansville,IN,Yes,Fuzzy match
20,3,Spaceman Ventures LLC,9102 N Meridian St Ste 550,Indianapolis,IN,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
20,4,Sola Fort Wayne,5900 West Jefferson Blvd,Fort Wayne,IN,220,Times Corner,5900 West Jefferson Blvd.,Fort Wayne,IN,Yes,Fuzzy match
20,5,Sola Beacon Hill,115 East 107th Avenue,Crown Point,IN,255,Beacon Hill,115 East 107th Avenue,Crown Point,IN,Yes,Perfect match
20,7,Sola Avon,10952 East US 36,Avon,IN,373,Avon (Indiana),10948 East US 36,Avon,IN,Yes,Fuzzy match
21,1,Hunnington Place Shopping Center,"1850 S. Hurstbourne Pkwy
Suite 115",Louisville,KY,39,Hunnington Place,1850 S. Hurstbourne Pkwy,Louisville,KY,Yes,Fuzzy match
21,2,"Platinum Partners, LLC",12856 Whitebridge Dr.,Fishers,IN,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
21,4,Colmar,11609 Colmar,Indianapolis,IN,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
21,6,Mudsock Properties,11502 & 11504 Moore St,Fishers,IN,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
21,8,Springhurst,"2809 N Hurstbourne Parkway
Suite #105",Louisville,KY,81,Springhurst,2809 N Hurstbourne Pkwy,Louisville,KY,Yes,Fuzzy match
21,9,Beyrer Insurance and Associates,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
21,10,First Resource Realty,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
21,12,Middletown,12689 Shelbyville Rd,Louisville,KY,252,Middletown,12689 Shelbyville Rd ,Louisville,KY,Yes,Fuzzy match
21,13,CNB&T Account,120 E Madison,Iola ,KS,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
21,14,Personal Loan ,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
21,15,Clay Terrace,"14179 Clay Terrace Blvd
Suite 150",Carmel,IN,315,Clay Terrace,"14179 Clay Terrace Boulevard, Suite 120",Carmel,IN,Yes,Fuzzy match
21,16,AKIT,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
21,17,Circle City Studios,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
21,18,Smith Valley,1675 W Smith Valley Rd. # B4,Greenwood,IN,368,Greenwood,1675 W. Smith Valley Road,Greenwood,IN,Yes,Fuzzy match
21,19,VERSE,1050 N Mattis Ave,Champaign,IL,399,Champaign Commons,105 North Mattis Ave. ,Champaign,IL,Yes,Fuzzy match
22,8,Sola Salon Studios Willow Glen,1082 Lincoln Avenue,San Jose,CA,123,San Jose - Willow Glen,1082 Lincoln Avenue,San Jose,CA,Yes,Perfect match
23,7,Sola Salon Pack Square,"124 College Street
Suite 200",Asheville,NC,203,Pack Square,"124 College Street, 2nd Floor",Asheville,NC,Yes,Fuzzy match
23,8,TBD S AVL,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
24,8,Arbor Hills,3050 Washtenaw,Ann Arbor,MI,205,Arbor Hills,3050 Washtenaw Avenue,Ann Arbor,MI,Yes,Fuzzy match
24,9,Oak Valley,Oak Valley Drive,Ann Arbor,MI,204,Oak Valley Centre,3069 Oak Valley Drive,Ann Arbor,MI,Yes,Fuzzy match
24,10,Corporate ,"369 West Dussel
Suite D-12",Maumee,OH,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
24,11,Woodhaven,22713 Allen Rd.,Woodhaven,MI,293,Woodhaven,22713 Allen Road ,Woodhaven,MI,Yes,Fuzzy match
24,12,Westland,"35675 Warren Road, Store #8",Westland,MI,360,Westland,35675 Warren Road,Westland,MI,Yes,Fuzzy match
24,13,Maple Village,227 N. Maple Road,Ann Arbor,MI,320,Maple Village,227 N Maple Road,Ann Arbor,MI,Yes,Fuzzy match
25,7,Sola Huntsville,"suite 204
809 Shoney Dr.",Huntsville,AL,130,Shoney Drive,"809 Shoney Drive, Suite 204",Huntsville,AL,Yes,Fuzzy match
25,8,management Company,3358 Pinestream rd.,Atlanta,GA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
25,9,Sola Chattanooga,"2115 Gunbarrel rd
Suite 7",Chattnooga,TN,221,Hamilton Corners on Gunbarrel rd.,2115 Gunbarrel rd.,Chattanooga,TN,Yes,Fuzzy match
25,10,Heritage Square Huntsville,7696 Highway 72 west,Madison,AL,314,Heritage Square,7696 Highway 72 West,Madison,AL,Yes,Fuzzy match
26,1,Sola Chandler,5833 W. Seaglass Circle,Playa Vista,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
27,1,Sola Salon Studios Gainesville,"490 NW 60th Street 
Suite 5",Gainesville,FL,356,Oaks Mall,490 NW 60th Street Suite 5,Gainesville,FL,Yes,Fuzzy match
28,1,L3W Sola SBCo LP,PO Box 461287,Denver,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
28,3,Terra Vista Town Center,"10828 Foothilll Blvd.
suite 100",Rancho Cucamonga,CA,98,Rancho Cucamonga - Terra Vista Town Center,10828 Foothill Blvd. Suite 100,Rancho Cucamonga,CA,Yes,Fuzzy match
28,5,Victoria Promenade,"11940 Foothill Blvd.
Suites 211, 212, 213, 214",Rancho Cucamonga,CA,133,Rancho Cucamonga - Victoria Promenade,"11940 Foothill Blvd., Ste. 211",Rancho Cucamonga,CA,Yes,Fuzzy match
28,6,Gateway Village Shopping Center,"3560 Grand Avenue
Suite A, C, D, E",Chino Hills,CA,248,Chino Hills,"3560 Grand Avenue, Suite A ",Chino Hills,CA,Yes,Fuzzy match
28,7,TriCity Shopping Center- Redlands,1436 Industrial Park Ave,Redlands,CA,263,Redlands,1436 Industrial Park Ave ,Redlands,CA,Yes,Fuzzy match
28,8,Upland Town Center,"829 W. Foothill Boulevard, Unit B",Upland,CA,345,Upland Town Square,"829 W. Foothill Blvd., Suite B",Upland,CA,Yes,Fuzzy match
29,7,Sola Salon Studios Brentwood,12121 Wilshire Blvd.,Los Angeles,CA,129,Brentwood,"12121 Wilshire Blvd., Suite 102",Los Angeles,CA,Yes,Fuzzy match
29,8,Sola Pasadena,"455 S. Lake Ave., Suite 103",Pasadena,CA,299,Pasadena ,455 South Lake Ave. Suite 103 ,Pasadena,CA,Yes,Fuzzy match
32,7,Belle Hall,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
32,8,Columbiana Station,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
32,9,Rosewood Crossing,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
33,8,Sandy,9285 South Village Shop Drive,Sandy,UT,182,Sandy ,9285 South Village Shop Drive,Sandy,UT,Yes,Perfect match
33,9,Sola Orem,570 South State Street,Orem,UT,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
33,10,Sugar House,1033 E 2100 S.  Suite 200,Salt Lake City,UT,337,Sugar House,1033 E. 2100 S. Suite 200,Salt Lake City,UT,Yes,Fuzzy match
33,11,Corporate,1244 Pennbrooke Ln,Highland,UT,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
41,7, Sola 6th Avenue,5401 6th Avenue Suite 300,Tacoma,WA,179,Tacoma - 6th Avenue,5401 6th Ave Suite 300,Tacoma,WA,Yes,Fuzzy match
42,1,Costa Mesa,1815 Newport Blvd.,Costa Mesa,CA,94,Costa Mesa,1815 Newport Blvd,Costa Mesa,CA,Yes,Fuzzy match
43,7,Glastonbury,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
43,8,Avon,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
44,7,Sola Cupertino,20540 Stevens Creek Blvd,Cupertino,CA,15,Cupertino,20540 Stevens Creek Blvd,Cupertino,CA,Yes,Perfect match
44,8,EshVar Holdings Inc.,3058 Mattique Drive,San Jose,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
44,9,"Haltore Holdings, Inc",3058 Mattique Drive,San Jose,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
44,10,Sola Fremont,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
45,7,Sola,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
45,8,Sola Salons - Naples,"2950 Tamiami Trail N., Suite 5",Naples,FL,186,Hibiscus Center, 2950 Tamiami Trail North,Naples,FL,Yes,Fuzzy match
45,9,Sola Salons - Collins,7403 N. Collins Avenue,Miami Beach,FL,209,Collins Avenue,7403 Collins Ave.,Miami Beach,FL,Yes,Fuzzy match
46,8,Sola - PINNACLE,5229 Pinnacle Parkway,Covington,LA,120,Northshore,5229 Pinnacle Pkwy,Covington,LA,Yes,Fuzzy match
46,9,"Nola Studios, LLC.","3879 E 120th Avenue
#210",Thornton,CO,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
46,10,Sola - Old Metairie Village,"701 Metairie Road
2B201",Metairie,LA,238,Metairie,701 Metairie Road ,Metairie,LA,Yes,Fuzzy match
46,11,Sola - Mid City,"4141 Bienville St
Suite 104",New Orleans,LA,312,Mid City Market,4141 Bienville Street,New Orleans,LA,Yes,Fuzzy match
47,7,Crofton Centre- Sola,"1629 Crofton Centre
A-102",Crofton,MD,160,Sola Salons of Crofton,1629 Crofton Centre,Crofton,MD,Yes,Fuzzy match
47,8,Southdale Shopping Center - Sola,4R Mountain Rd.,Glen Burnie,MD,213,Southdale Shopping Plaza,50 Mountain Road,Glen Burnie,MD,Yes,Fuzzy match
47,9,Edgewater,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
47,10,Sola Salon Administration,"528 College Parkway
Suite I",Arnold,MD,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
48,1,Riverchase Village,"3780 Riverchase Village
Suite 500",Birmingham,AL,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
48,2,Inverness Corners,710 Inverness Corners,Birmingham,AL,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
48,3,Centre at Riverchase,"1694 Montgomery Hwy
Suite 172",Birmingham,AL,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
48,4,Homewood,"1694 Montgomery Highway
Suite 172",Hoover,AL,300,Centre at Riverchase,"1694 Montgomery Highway, ",Hoover,AL,Yes,Fuzzy match
49,8,Corporate,1660 hotel Circle N #304,San Diego,CA,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
49,9,The Veridian,1133 East-West Highway,Silver Spring,MD,317,The Veridian,1133 East West Highway,Silver Spring,MD,Yes,Fuzzy match
49,10,1701 Rockville Pike,1701 Rockville Pike,Rockville,MD,324,Congressional South,1701 Rockville Pike ,Rockville,MD,Yes,Fuzzy match
49,11,Westview South,4969 Westview Drive,Frederick,MD,344,Westview South ,"4969 Westview Drive, Suite 105",Frederick,MD,Yes,Fuzzy match
49,12,1620 York Road,1620 York Road #108,Luthervlle,MD,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
49,13,Centre Court,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
50,7,CSP North Academy,7150 North Academy Blvd.,Colorado Springs,CO,168,North Academy Blvd.,7150 North Academy Blvd. ,Colorado Springs,CO,Yes,Fuzzy match
50,8,"Parker, CO",11177 S Dransfeldt Rd,Parker,CO,167,Sola Parker,"11177 South Dransfeldt Road, Suite 135",Parker,CO,Yes,Fuzzy match
50,9,Corporate,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
50,10,Powers Blvd,"","","",,,,,,No,"Could not be matched because property in Rent Manager was missing street address, city or state."
51,8,"AGG Salon 1, LLC ",4727 E Cactus Rd,Phoenix,AZ,154,Paradise Valley Village,"4727 E Cactus Rd, Suite 100",Phoenix,AZ,Yes,Fuzzy match
51,10,AGG Salons INC,3746 E Ringtail Way,Phoenix,AZ,,,,,,No,"Tried to match using both perfect and fuzzy match, but both matching attempts failed."
